"CustomerID","AccountNumber","CustomerFullname","TotalOrder","TotalRevenue"
11204,AW00011204,Destiny C Rivera,2,"7727.0000"
11205,AW00011205,Abby  Fernandez,2,"3729.0000"
11206,AW00011206,Blake  Flores,2,"7727.0000"
11207,AW00011207,Danielle  Cox,2,"7727.0000"
11208,AW00011208,Maria  Reed,2,"13423.0000"
11209,AW00011209,Allison  Evans,2,"3729.0000"
11210,AW00011210,Edward J Wood,2,"7076.0000"
11211,AW00011211,Samantha  Russell,17,"79355.0000"
11212,AW00011212,Chloe  Campbell,17,"82719.0000"
11213,AW00011213,Stephanie B Murphy,2,"7727.0000"
11214,AW00011214,Charles O Miller,2,"16228.0000"
11215,AW00011215,Ana  Perry,17,"115552.0000"
11216,AW00011216,Jasmine A Torres,2,"594824.0000"
11217,AW00011217,Natalie P Adams,2,"595325.0000"
11218,AW00011218,Olivia  Brown,2,"3958.0000"
11219,AW00011219,Charles  Cook,2,"3958.0000"
11220,AW00011220,Erica C Huang,2,"5023.0000"
11221,AW00011221,Nathan  Perry,2,"4627.0000"
11222,AW00011222,Alexandra  Rivera,2,"20796.0000"
11223,AW00011223,Hailey I Patterson,27,"120538.0000"
11224,AW00011224,Tiffany J Li,3,"668559.0000"
11225,AW00011225,Madison D Lee,2,"7325.0000"
11226,AW00011226,Sydney T Ross,2,"3729.0000"
11227,AW00011227,Marshall D Chavez,2,"591022.0000"
11228,AW00011228,Ashley R Jones,2,"7727.0000"
11229,AW00011229,Adrian C Stewart,2,"8126.0000"
11230,AW00011230,Amber  Turner,2,"5422.0000"
11231,AW00011231,Dennis  Zhang,2,"6426.0000"
11232,AW00011232,Hailey R Bryant,2,"3958.0000"
11233,AW00011233,Todd  Li,2,"17943.0000"
11234,AW00011234,Anna  Griffin,2,"7627.0000"
11235,AW00011235,Angel J Stewart,2,"13845.0000"
11236,AW00011236,Jeremy  Butler,2,"11396.0000"
11237,AW00011237,Clarence M Anand,4,"1056638.0000"
11238,AW00011238,Mayra  Prasad,4,"754277.0000"
11239,AW00011239,Latoya C Goel,4,"751155.0000"
11240,AW00011240,Anne B Hernandez,4,"758623.0000"
11241,AW00011241,Lisa  Cai,7,"21432991.0000"
11242,AW00011242,Larry  Munoz,7,"21392873.0000"
11243,AW00011243,Robin V Alvarez,4,"716425.0000"
11244,AW00011244,Alexis M Coleman,4,"717575.0000"
11245,AW00011245,Ricky D Vazquez,4,"1058035.0000"
11246,AW00011246,Latasha  Rubio,4,"1057533.0000"
11247,AW00011247,Claudia M Zhou,4,"713151.0000"
11248,AW00011248,Tristan P Alexander,1,"3847.0000"
11249,AW00011249,Cindy A Patel,4,"989027.0000"
11250,AW00011250,Shannon D Liu,4,"711625.0000"
11251,AW00011251,Xavier  Long,1,"231896.0000"
11252,AW00011252,Nicholas D Thompson,3,"668556.0000"
11253,AW00011253,José M Hernandez,16,"69661.0000"
11254,AW00011254,Johnathan W Vance,2,"20392.0000"
11255,AW00011255,Colin  Lin,2,"11396.0000"
11256,AW00011256,Katelyn L Hernandez,2,"8126.0000"
11257,AW00011257,Jacqueline  Powell,3,"667738.0000"
11258,AW00011258,Xavier  Hill,2,"4923.0000"
11259,AW00011259,Victoria C Stewart,3,"677060.0000"
11260,AW00011260,Katelyn L Kelly,2,"8126.0000"
11261,AW00011261,Stephanie  Collins,3,"665060.0000"
11262,AW00011262,Jennifer  Simmons,27,"112682.0000"
11263,AW00011263,Trinity  Richardson,3,"675406.0000"
11264,AW00011264,Eduardo  Martin,2,"318227.0000"
11265,AW00011265,Elizabeth P Jones,1,"235196.0000"
11266,AW00011266,Taylor  Howard,2,"592223.0000"
11267,AW00011267,David  Diaz,2,"594323.0000"
11268,AW00011268,Katelyn A Carter,2,"9825.0000"
11269,AW00011269,Ryan W Foster,2,"4228.0000"
11270,AW00011270,Robert L Lee,2,"598422.0000"
11271,AW00011271,Danielle C Reed,2,"597324.0000"
11272,AW00011272,Lauren L Martinez,2,"597523.0000"
11273,AW00011273,Nathan E Lal,2,"27323.0000"
11274,AW00011274,Kyle M Foster,2,"588824.0000"
11275,AW00011275,Jenny D Rai,2,"595523.0000"
11276,AW00011276,Nancy E Chapman,27,"98832.0000"
11277,AW00011277,Charles P Jackson,27,"143499.0000"
11278,AW00011278,Jonathan  Phillips,2,"590825.0000"
11279,AW00011279,Amanda S Cook,2,"4457.0000"
11280,AW00011280,Robert  Collins,2,"7727.0000"
11281,AW00011281,Megan J Barnes,2,"592119.0000"
11282,AW00011282,Christian A Thomas,2,"599873.0000"
11283,AW00011283,Arturo  Lal,2,"4457.0000"
11284,AW00011284,Theresa  Serrano,2,"5548.0000"
11285,AW00011285,Jeremy J Anderson,2,"12776.0000"
11286,AW00011286,Hunter D Griffin,2,"595422.0000"
11287,AW00011287,Henry B Garcia,27,"116707.0000"
11288,AW00011288,Cindy K Sanchez,2,"7727.0000"
11289,AW00011289,Maria S Carter,2,"590548.0000"
11290,AW00011290,Katelyn  Sanchez,2,"593325.0000"
11291,AW00011291,Jenna  Wright,2,"587326.0000"
11292,AW00011292,Seth  Phillips,2,"591022.0000"
11293,AW00011293,Luke S Long,2,"8522.0000"
11294,AW00011294,Dalton P Clark,2,"4228.0000"
11295,AW00011295,Taylor G Lewis,2,"605825.0000"
11296,AW00011296,Haley  Richardson,2,"589753.0000"
11297,AW00011297,Noah  Coleman,2,"594824.0000"
11298,AW00011298,Jon  Luo,2,"592223.0000"
11299,AW00011299,Orlando E Vazquez,2,"601524.0000"
11300,AW00011300,Fernando  Barnes,27,"150052.0000"
11301,AW00011301,Cameron L Rodriguez,2,"13126.0000"
11302,AW00011302,Spencer  Russell,2,"593819.0000"
11303,AW00011303,Julia  Coleman,2,"587555.0000"
11304,AW00011304,Julia B Garcia,2,"12221.0000"
11305,AW00011305,Sean A Evans,2,"7727.0000"
11306,AW00011306,Micah A Zhou,2,"4228.0000"
11307,AW00011307,Hunter P Rodriguez,2,"596422.0000"
11308,AW00011308,Ian T Gonzales,2,"9426.0000"
11309,AW00011309,Victoria  Lewis,2,"4228.0000"
11310,AW00011310,Erin A Sanders,2,"7727.0000"
11311,AW00011311,Gabrielle D Lopez,2,"7727.0000"
11312,AW00011312,Sara  Richardson,2,"4228.0000"
11313,AW00011313,Trevor  Jenkins,2,"4457.0000"
11314,AW00011314,Mya  Flores,2,"4753.0000"
11315,AW00011315,Hailey J Ward,2,"4228.0000"
11316,AW00011316,Luke  Allen,1,"234998.0000"
11317,AW00011317,Victoria D Russell,2,"587326.0000"
11318,AW00011318,Jessica  Wilson,2,"4457.0000"
11319,AW00011319,Jade E Bailey,2,"593023.0000"
11320,AW00011320,Morgan M Hill,2,"7221.0000"
11321,AW00011321,Terrance D Raman,2,"3729.0000"
11322,AW00011322,Sydney  Garcia,2,"4457.0000"
11323,AW00011323,Jose  Patterson,2,"607454.0000"
11324,AW00011324,Zachary  Anderson,2,"594523.0000"
11325,AW00011325,Elijah E Ross,2,"604420.0000"
11326,AW00011326,Rafael M Xie,2,"594824.0000"
11327,AW00011327,Jaime C Moreno,2,"591554.0000"
11328,AW00011328,Julian M Griffin,2,"471804.0000"
11329,AW00011329,Andy  Alvarez,2,"589826.0000"
11330,AW00011330,Ryan M Thompson,27,"113635.0000"
11331,AW00011331,Samantha  Jenkins,27,"132931.0000"
11332,AW00011332,Deanna D Ramos,2,"575497.0000"
11333,AW00011333,Emily R Miller,3,"816331.0000"
11334,AW00011334,Nicole  Brown,3,"815402.0000"
11335,AW00011335,Carla L Raman,2,"574425.0000"
11336,AW00011336,Shaun  Raji,2,"20951192.0000"
11337,AW00011337,Jerome  Romero,3,"816200.0000"
11338,AW00011338,Frank F Navarro,2,"574495.0000"
11339,AW00011339,Dennis M She,2,"20723980.0000"
11340,AW00011340,Melody C Munoz,2,"20727378.0000"
11341,AW00011341,Randy A Zeng,3,"819200.0000"
11342,AW00011342,Marshall L Wang,1,"4897.0000"
11343,AW00011343,Arthur P Carlson,3,"822199.0000"
11344,AW00011344,Jessie  Jimenez,3,"811981.0000"
11345,AW00011345,Robin  Ramos,2,"20726481.0000"
11346,AW00011346,Deanna E Gutierrez,2,"20736377.0000"
11347,AW00011347,Roy T Navarro,1,"1398.0000"
11348,AW00011348,Shawn  Rai,1,"6797.0000"
11349,AW00011349,Mindy J Luo,1,"6797.0000"
11350,AW00011350,Cara  Zhou,1,"3847.0000"
11351,AW00011351,Anne R Ramos,3,"806803.0000"
11352,AW00011352,Raymond A Rodriguez,1,"1398.0000"
11353,AW00011353,Carrie L Ortega,3,"807802.0000"
11354,AW00011354,Deanna  Suarez,1,"2297.0000"
11355,AW00011355,Roberto  Gutierrez,1,"1398.0000"
11356,AW00011356,Terrence  Carson,3,"506929.0000"
11357,AW00011357,Ramon  Ye,3,"494380.0000"
11358,AW00011358,Cynthia  Malhotra,3,"503478.0000"
11359,AW00011359,Jarrod  Prasad,3,"496007.0000"
11360,AW00011360,Tyrone  Serrano,3,"502580.0000"
11361,AW00011361,Cindy G Ramos,2,"11496.0000"
11362,AW00011362,Damien M Shan,2,"7727.0000"
11363,AW00011363,Julian  Ross,3,"503581.0000"
11364,AW00011364,Jennifer  Collins,3,"492182.0000"
11365,AW00011365,Brittney  Sun,3,"502479.0000"
11366,AW00011366,Virginia R Patel,2,"7727.0000"
11367,AW00011367,Calvin J Nara,2,"8626.0000"
11368,AW00011368,Edward  Miller,3,"510624.0000"
11369,AW00011369,Ashlee D Tang,2,"11896.0000"
11370,AW00011370,Alicia  Xu,2,"7997.0000"
11371,AW00011371,Lacey C Jai,2,"7498.0000"
11372,AW00011372,Wendy H Romero,3,"496581.0000"
11373,AW00011373,Carly H Luo,1,"3847.0000"
11374,AW00011374,Jimmy M Ortega,1,"6897.0000"
11375,AW00011375,Francisco  Martinez,1,"1398.0000"
11376,AW00011376,Lance  Vazquez,1,"7848.0000"
11377,AW00011377,David R. Robinett,1,"8397.0000"
11378,AW00011378,Shannon  Liang,2,"20950693.0000"
11379,AW00011379,Gary  Vazquez,2,"20728678.0000"
11380,AW00011380,Mitchell L Kumar,2,"583791.0000"
11381,AW00011381,Meredith  Raman,3,"816102.0000"
11382,AW00011382,Edward  Patterson,2,"20720481.0000"
11383,AW00011383,Marie  Gill,1,"4897.0000"
11384,AW00011384,Tiffany E Wang,1,"4897.0000"
11385,AW00011385,Miguel C Allen,1,"1398.0000"
11386,AW00011386,Jaclyn  Cai,1,"6897.0000"
11387,AW00011387,Megan C Ramirez,3,"695880.0000"
11388,AW00011388,Joseph  Martin,3,"698675.0000"
11389,AW00011389,Karl J Shan,1,"6897.0000"
11390,AW00011390,Christine J Raji,1,"4897.0000"
11391,AW00011391,Lindsay T Xie,1,"3398.0000"
11392,AW00011392,Willie  Zhao,1,"2899.0000"
11393,AW00011393,Kurt B Pal,1,"1398.0000"
11394,AW00011394,George  McDonald,3,"816197.0000"
11395,AW00011395,Beth C Gutierrez,2,"572997.0000"
11396,AW00011396,Ian G Lopez,1,"2899.0000"
11397,AW00011397,Latoya R Shan,1,"3847.0000"
11398,AW00011398,Colin N Nath,3,"811404.0000"
11399,AW00011399,Brenda F Mehta,1,"1398.0000"
11400,AW00011400,Franklin  Raji,3,"696778.0000"
11401,AW00011401,Linda  Navarro,3,"21009141.0000"
11402,AW00011402,Kelli R Cai,3,"21012987.0000"
11403,AW00011403,Nancy  Schmidt,3,"21010368.0000"
11404,AW00011404,Megan E Taylor,1,"3398.0000"
11405,AW00011405,Bonnie  Goel,1,"5399.0000"
11406,AW00011406,Latoya L Xu,2,"20727576.0000"
11407,AW00011407,Mario  She,1,"5399.0000"
11408,AW00011408,Darren M Gill,1,"3447.0000"
11409,AW00011409,Jacqueline H Hayes,2,"20730479.0000"
11410,AW00011410,Maurice  Goel,2,"20732479.0000"
11411,AW00011411,Devin A Ross,1,"3847.0000"
11412,AW00011412,Sydney S Bryant,4,"987996.0000"
11413,AW00011413,Megan L Stewart,4,"718975.0000"
11414,AW00011414,Ian  Richardson,4,"719177.0000"
11415,AW00011415,Randy H She,1,"1398.0000"
11416,AW00011416,Katrina  Becker,3,"20778878.0000"
11417,AW00011417,Lacey C Zheng,7,"21410918.0000"
11418,AW00011418,Rafael J Hu,1,"3998.0000"
11419,AW00011419,Kyle D Scott,2,"23175.0000"
11420,AW00011420,Jordan C Turner,7,"21627131.0000"
11421,AW00011421,Amy C Sun,4,"978004.0000"
11422,AW00011422,Dustin F Deng,4,"707527.0000"
11423,AW00011423,Jasmine  Stewart,4,"990497.0000"
11424,AW00011424,Pamela S Garcia,1,"4398.0000"
11425,AW00011425,Ariana D Gray,6,"21338935.0000"
11426,AW00011426,Kristopher  Mehta,1,"3499.0000"
11427,AW00011427,Desiree S Dominguez,4,"991799.0000"
11428,AW00011428,Deanna  Perez,4,"995426.0000"
11429,AW00011429,Marco  Lopez,6,"21553892.0000"
11430,AW00011430,Casey K Yuan,1,"8498.0000"
11431,AW00011431,Bryant  Garcia,4,"991298.0000"
11432,AW00011432,Dominique L Prasad,6,"21440074.0000"
11433,AW00011433,Maurice M Shan,6,"21577039.0000"
11434,AW00011434,Andre  Lopez,2,"7046.0000"
11435,AW00011435,Robin  Romero,1,"3499.0000"
11436,AW00011436,Taylor  Cox,2,"8176.0000"
11437,AW00011437,Alfredo  Moreno,1,"5399.0000"
11438,AW00011438,Jenny  Nara,1,"3499.0000"
11439,AW00011439,Janet  Munoz,6,"21755971.0000"
11440,AW00011440,Sergio C Weber,1,"7848.0000"
11441,AW00011441,Erika  Gomez,1,"4398.0000"
11442,AW00011442,Joseph D Harris,1,"3499.0000"
11443,AW00011443,Grace  Griffin,3,"823500.0000"
11444,AW00011444,Tina C Mehta,3,"813602.0000"
11445,AW00011445,Kari S Kim,3,"809803.0000"
11446,AW00011446,Bethany K Chander,3,"823701.0000"
11447,AW00011447,Jennifer  Roberts,3,"807802.0000"
11448,AW00011448,Kyle  Patterson,3,"813201.0000"
11449,AW00011449,Alvin E Hu,3,"813032.0000"
11450,AW00011450,Brett  Mehta,3,"817326.0000"
11451,AW00011451,Ruben L Muñoz,3,"824949.0000"
11452,AW00011452,Erika A Rubio,3,"818304.0000"
11453,AW00011453,Stanley H Malhotra,3,"817698.0000"
11454,AW00011454,Melinda  Navarro,3,"808904.0000"
11455,AW00011455,Ross  Sanz,3,"814203.0000"
11456,AW00011456,Jon C Gao,3,"822446.0000"
11457,AW00011457,Jaime C Gutierrez,3,"821148.0000"
11458,AW00011458,Bianca K Liu,3,"9689.0000"
11459,AW00011459,Tasha  Deng,3,"814133.0000"
11460,AW00011460,Melvin R Chande,3,"813752.0000"
11461,AW00011461,Victor  Jimenez,3,"808904.0000"
11462,AW00011462,Laura L Lin,3,"811633.0000"
11463,AW00011463,Alisha E Beck,3,"4792.0000"
11464,AW00011464,Alejandro  Huang,3,"812851.0000"
11465,AW00011465,Louis  Luo,3,"815804.0000"
11466,AW00011466,Grant H Tang,3,"9019.0000"
11467,AW00011467,Arturo C Zheng,3,"5587.0000"
11468,AW00011468,Jaclyn  Andersen,3,"695982.0000"
11469,AW00011469,Edwin  Raji,1,"2548.0000"
11470,AW00011470,Jay C Suarez,2,"20720481.0000"
11471,AW00011471,Latasha  Suarez,1,"5399.0000"
11472,AW00011472,Kenneth  Kumar,3,"816582.0000"
11473,AW00011473,Grace M Henderson,1,"6298.0000"
11474,AW00011474,Melvin A Xu,1,"4997.0000"
11475,AW00011475,Cesar L Subram,1,"6946.0000"
11476,AW00011476,Erika K Navarro,1,"5399.0000"
11477,AW00011477,Tristan  Hughes,1,"3499.0000"
11478,AW00011478,Billy C Hernandez,1,"5399.0000"
11479,AW00011479,Darryl L Wu,3,"21004115.0000"
11480,AW00011480,Colleen A Ma,3,"21000590.0000"
11481,AW00011481,Erica  Hu,3,"20783877.0000"
11482,AW00011482,Adrienne C Torres,3,"814303.0000"
11483,AW00011483,Calvin E Chande,3,"21003693.0000"
11484,AW00011484,Erick L Sai,3,"21005592.0000"
11485,AW00011485,Donald  Chandra,3,"704830.0000"
11486,AW00011486,Ariana F Rogers,1,"3499.0000"
11487,AW00011487,Morgan C Jones,1,"5399.0000"
11488,AW00011488,Jermaine  Lopez,3,"809033.0000"
11489,AW00011489,Deborah S Goel,3,"812751.0000"
